"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249577","רכישת מוצר מהחנות (ישירות ודרך חיפוש)","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
"","74774","test_communities","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
"","25093","ביצוע האימון היומי מתחילה ועד סיום מוקדם","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
"","55239","התחברות עם קוד OTP","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
"","31591","שיחה עם מאמן ה-AI וקבלת תוכנית אימונים","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
"","25102","הרשמה ל-Freefit וכניסה לעולם ה-Freefit","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
"","11553","צפייה במסך הביצועים ומעבר בין תצוגות חודש/שבוע","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
"","102820","מילוי פרטים אישיים וולידציות","","2026-08-30","passed","2026-08-30","Test_Example","LeumitFitSanity","",""
