"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269453","רכישת מוצר מהחנות (ישירות ודרך חיפוש)","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
"","24864","ביצוע האימון היומי מתחילה ועד סיום מוקדם","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
"","25215","הרשמה ל-Freefit וכניסה לעולם ה-Freefit","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
"","12078","צפייה במסך הביצועים ומעבר בין תצוגות חודש/שבוע","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
"","34353","שיחה עם מאמן ה-AI וקבלת תוכנית אימונים","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
"","75205","test_communities","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
"","57145","התחברות עם קוד OTP","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
"","100012","מילוי פרטים אישיים וולידציות","","2026-09-02","passed","2026-09-02","Test_Example","LeumitFitSanity","",""
