"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25352","ביצוע האימון היומי מתחילה ועד סיום מוקדם","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
"","55742","שיחה עם מאמן ה-AI וקבלת תוכנית אימונים","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
"","236476","רכישת מוצר מהחנות (ישירות ודרך חיפוש)","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
"","11447","צפייה במסך הביצועים ומעבר בין תצוגות חודש/שבוע","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
"","101588","מילוי פרטים אישיים וולידציות","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
"","25383","הרשמה ל-Freefit וכניסה לעולם ה-Freefit","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
"","56634","התחברות עם קוד OTP","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
"","76872","test_communities","","2026-08-25","passed","2026-08-25","Test_Example","LeumitFitSanity","",""
