"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62760","התחברות עם קוד OTP","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
"","59679","שיחה עם מאמן ה-AI וקבלת תוכנית אימונים","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
"","120869","מילוי פרטים אישיים וולידציות","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
"","12579","צפייה במסך הביצועים ומעבר בין תצוגות חודש/שבוע","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
"","275208","רכישת מוצר מהחנות (ישירות ודרך חיפוש)","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
"","89918","test_communities","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
"","28133","הרשמה ל-Freefit וכניסה לעולם ה-Freefit","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
"","28805","ביצוע האימון היומי מתחילה ועד סיום מוקדם","","2026-08-20","passed","2026-08-20","Test_Example","LeumitFitSanity","",""
