"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12641","צפייה במסך הביצועים ומעבר בין תצוגות חודש/שבוע","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
"","86239","test_communities","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
"","27607","הרשמה ל-Freefit וכניסה לעולם ה-Freefit","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
"","275229","רכישת מוצר מהחנות (ישירות ודרך חיפוש)","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
"","28425","ביצוע האימון היומי מתחילה ועד סיום מוקדם","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
"","54262","שיחה עם מאמן ה-AI וקבלת תוכנית אימונים","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
"","121218","מילוי פרטים אישיים וולידציות","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
"","61837","התחברות עם קוד OTP","","2026-08-28","passed","2026-08-28","Test_Example","LeumitFitSanity","",""
