"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11490","צפייה במסך הביצועים ומעבר בין תצוגות חודש/שבוע","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
"","26311","ביצוע האימון היומי מתחילה ועד סיום מוקדם","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
"","97865","מילוי פרטים אישיים וולידציות","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
"","245420","רכישת מוצר מהחנות (ישירות ודרך חיפוש)","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
"","25375","הרשמה ל-Freefit וכניסה לעולם ה-Freefit","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
"","76223","test_communities","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
"","32589","שיחה עם מאמן ה-AI וקבלת תוכנית אימונים","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
"","57046","התחברות עם קוד OTP","","2026-08-23","passed","2026-08-23","Test_Example","LeumitFitSanity","",""
