"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75754","test_communities","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
"","56059","התחברות עם קוד OTP","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
"","25309","הרשמה ל-Freefit וכניסה לעולם ה-Freefit","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
"","241897","רכישת מוצר מהחנות (ישירות ודרך חיפוש)","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
"","11249","צפייה במסך הביצועים ומעבר בין תצוגות חודש/שבוע","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
"","95975","מילוי פרטים אישיים וולידציות","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
"","25472","ביצוע האימון היומי מתחילה ועד סיום מוקדם","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
"","34070","שיחה עם מאמן ה-AI וקבלת תוכנית אימונים","","2026-08-19","passed","2026-08-19","Test_Example","LeumitFitSanity","",""
